Time,Plant alarm,Water alarm,Moisture level,Ambient light
2023_06_01_15_08,0,0,1,71
2023_06_01_15_08,0,0,0,71
2023_06_01_15_08,0,0,1,72
2023_06_01_15_08,0,0,1,71
2023_06_01_15_09,0,0,1,71
2023_06_01_15_10,0,0,0,72
2023_06_01_15_11,0,0,0,71
2023_06_01_15_12,0,0,1,71
2023_06_01_15_12,0,0,1,72
2023_06_01_15_13,0,0,0,71
2023_06_01_15_14,0,0,1,71
2023_06_01_15_15,0,0,0,71
2023_06_01_15_16,0,0,0,71
2023_06_01_15_16,0,0,0,71
2023_06_01_15_30,0,0,0,70
2023_06_01_15_30,0,0,0,71
2023_06_01_16_19,0,0,1,69
2023_06_01_16_20,0,0,0,69
2023_06_01_16_20,0,0,0,69
2023_06_01_16_20,0,0,1,69
2023_06_01_16_21,0,0,1,69
2023_06_01_16_21,0,0,1,68
2023_06_01_16_21,0,0,1,67
2023_06_01_16_22,0,0,1,69
2023_06_01_16_22,0,0,0,68
2023_06_01_16_22,0,0,1,63
2023_06_01_16_23,0,0,0,63
